Address,Register,NAME,Reset_Value,Start_Bit,Length
0x22,CH5_CHG,RESERVED,0b000,10,3
0x22,CH5_CHG,DCBLK5_DIS0,0b0,13,1
0x22,CH5_CHG,MUX5,0b00,14,2
0x23,CH5_OCAL_MSB,OCAL5_MSB,0x0000,0,16
0x24,CH5_OCAL_LSB,OCAL5_LSB,0x00,0,8
0x24,CH5_OCAL_LSB,RESERVED,0x00,8,8
0x25,CH5_GCAL_MSB,GCAL5_MSB,0x8000,0,16
0x26,CH5_GCAL_LSB,GCAL5_LSB,0x00,0,8
0x26,CH5_GCAL_LSB,RESERVED,0x00,8,8
0x27,CH6_CHG,PHASE6,0b0000000000,0,10
0x27,CH6_CHG,RESERVED,0b000,10,3
0x27,CH6_CHG,DCBLK6_DIS0,0b0,13,1
0x27,CH6_CHG,MUX6,0b00,14,2
0x28,CH6_OCAL_MSB,OCAL6_MSB,0x0000,0,16
0x29,CH6_OCAL_LSB,OCAL6_LSB,0x00,0,8
0x29,CH6_OCAL_LSB,RESERVED,0x00,8,8
0x2A,CH6_GCAL_MSB,GCAL6_MSB,0x8000,0,16
0x2B,CH6_GCAL_LSB,GCAL6_LSB,0x00,0,8
0x2B,CH6_GCAL_LSB,RESERVED,0x00,8,8
0x2C,CH7_CHG,PHASE7,0b0000000000,0,10
0x2C,CH7_CHG,RESERVED,0b000,10,3
0x2C,CH7_CHG,DCBLK7_DIS0,0b0,13,1
0x2C,CH7_CHG,MUX7,0b00,14,2
0x2D,CH7_OCAL_MSB,OCAL7_MSB,0x0000,0,16
0x2E,CH7_OCAL_LSB,OCAL7_LSB,0x00,0,8
0x2E,CH7_OCAL_LSB,RESERVED,0x00,8,8
0x2F,CH7_GCAL_MSB,GCAL7_MSB,0x8000,0,16
0x30,CH7_GCAL_LSB,GCAL7_LSB,0x00,0,8
0x30,CH7_GCAL_LSB,RESERVED,0x00,8,8
0x31,RESERVED,RESERVED,0xXXXX,0,16
0x32,RESERVED,RESERVED,0xXXXX,0,16
0x33,RESERVED,RESERVED,0xXXXX,0,16
0x34,RESERVED,RESERVED,0xXXXX,0,16
0x35,RESERVED,RESERVED,0xXXXX,0,16
0x36,RESERVED,RESERVED,0xXXXX,0,16
0x37,RESERVED,RESERVED,0xXXXX,0,16
0x38,RESERVED,RESERVED,0xXXXX,0,16
0x39,RESERVED,RESERVED,0xXXXX,0,16
0x3A,RESERVED,RESERVED,0xXXXX,0,16
0x3B,RESERVED,RESERVED,0xXXXX,0,16
0x3C,RESERVED,RESERVED,0xXXXX,0,16
0x3D,RESERVED,RESERVED,0xXXXX,0,16
0x3E,REGMAP_CRC,REG_CRC,0x0000,0,16
0x3F,RESERVED,RESERVED,0xXXXX,0,16
